順位,選手,クラブ,2NDPTS,FBPS,PITP,%PTSFT,%PTSPITP,EFG%,TS%,%PTS2PT,%FGA2PT,%PTS3PT,%FGA3PT,AST/TO,%PTS,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD
26,"ブーバカー・トゥーレ
#21C",仙台,101,52,252,19.7%,79.0%,55.9%,56.0%,80.3%,100.0%,0.0%,0.0%,0.7,10.2%,11.3%,8.9%,0.0%,0.0%,11.3%,8.9%,23.7%,18.4%,20.1%,6.1%,14.4,10.8,25.2%,16.0%,13.2%,15.0%
26,"ライアン・クリーナー
#4PF",滋賀,101,71,262,16.5%,50.8%,60.0%,63.5%,53.9%,68.2%,29.7%,31.8%,1.1,16.5%,16.9%,14.1%,13.9%,9.9%,16.9%,14.1%,14.4%,13.8%,14.0%,12.6%,14.6,11.1,27.2%,11.0%,12.8%,16.5%
30,"チャールズ・ジャクソン
#10C",京都,100,64,268,22.2%,74.2%,58.5%,59.0%,77.0%,98.3%,0.8%,1.7%,1.1,12.9%,13.7%,9.6%,0.3%,0.4%,13.7%,9.6%,22.8%,18.9%,20.3%,8.9%,10.8,9.8,14.9%,19.6%,8.9%,18.6%
31,"トレイ・ケル
#8SG",富山,98,123,260,31.9%,34.9%,50.9%,60.2%,41.1%,59.8%,27.0%,40.2%,1.8,23.2%,19.1%,18.8%,24.3%,21.8%,19.1%,18.8%,6.1%,17.3%,13.4%,17.2%,13.3,16.8,9.5%,7.7%,7.0%,28.2%
32,"ダバンテ・ガードナー
#54C/PF",三河,97,32,362,17.9%,54.8%,61.0%,65.6%,56.7%,68.9%,25.5%,31.1%,2.3,20.1%,20.6%,17.6%,13.4%,11.2%,20.6%,17.6%,13.6%,20.9%,18.8%,16.5%,13.8,13.9,21.3%,13.6%,13.8%,17.3%
33,"ジェームズ・マイケル・マカドゥ
#14C/PF",島根,96,103,368,15.9%,80.3%,56.6%,57.7%,82.1%,96.5%,2.0%,3.5%,1.5,14.3%,16.4%,13.4%,0.9%,1.2%,16.4%,13.4%,22.0%,19.2%,20.0%,8.2%,9.6,18.4,20.8%,15.2%,10.6%,15.5%
33,"ジャレット・カルバー
#8SG/SF",仙台,96,223,432,22.7%,43.6%,53.0%,58.9%,48.5%,60.1%,28.8%,39.9%,1.2,31.7%,29.6%,28.1%,24.4%,24.8%,29.6%,28.1%,9.9%,19.9%,16.6%,17.5%,22.2,19.7,18.0%,31.0%,10.9%,33.9%
35,"ナシール・リトル
#8SF/PF",千葉J,95,103,254,23.3%,49.2%,54.7%,60.5%,52.3%,62.2%,24.4%,37.8%,1.4,16.1%,15.4%,14.3%,11.1%,12.7%,15.4%,14.3%,14.0%,16.6%,15.9%,7.7%,9.5,14.3,19.7%,18.3%,9.8%,16.1%
35,"スタンリー・ジョンソン
#14SF",長崎,95,210,338,19.6%,38.5%,53.1%,57.9%,43.8%,53.3%,36.6%,46.7%,1.3,24.2%,23.3%,24.6%,20.7%,23.1%,23.3%,24.6%,10.8%,17.6%,15.6%,15.9%,23.8,19.4,7.4%,22.0%,11.7%,26.1%
37,"アラン・ウィリアムズ
#15C",名古屋D,91,15,250,24.5%,71.2%,45.8%,50.9%,74.6%,99.0%,0.9%,1.0%,1.4,10.8%,11.1%,10.4%,0.3%,0.3%,11.1%,10.4%,13.4%,14.7%,14.2%,7.2%,9.4,8.2,17.2%,16.0%,14.3%,16.7%
38,"デイビッド・ダジンスキー
#23C/PF",佐賀,90,83,310,19.5%,50.9%,56.2%,61.1%,57.8%,66.7%,22.7%,33.3%,3.4,19.2%,19.7%,17.1%,12.2%,12.1%,19.7%,17.1%,15.5%,16.8%,16.4%,11.0%,6.4,11.3,17.6%,10.4%,10.3%,19.1%
38,"ネイサン・ブース
#45C/PF",仙台,90,41,162,11.0%,36.2%,60.9%,64.0%,43.4%,53.5%,45.6%,46.5%,2.0,14.3%,14.6%,12.7%,17.5%,13.1%,14.6%,12.7%,19.1%,13.1%,15.1%,13.6%,10.7,12.4,29.7%,7.0%,13.3%,8.4%
40,"タナー・グローヴス
#22C/PF",佐賀,89,68,308,18.8%,59.0%,62.5%,66.5%,60.5%,77.3%,20.7%,22.7%,0.8,16.4%,17.2%,13.3%,9.6%,6.4%,17.2%,13.3%,16.0%,20.4%,19.1%,5.4%,13.6,6.7,18.8%,24.7%,11.8%,15.4%
順位,選手,クラブ,得点,,,,,シュート,,2Pt,,3Pt,,アシスト,チーム内比率,,,,,,,,,,,,,,,,
,,,2NDPTS,FBPS,PITP,%PTSFT,%PTSPITP,EFG%,TS%,%PTS2PT,%FGA2PT,%PTS3PT,%FGA3PT,AST/TO,%PTS,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD
41,"ジャレル・マーティン
#1PF",越谷,88,48,226,16.1%,52.1%,47.9%,51.0%,60.4%,72.1%,23.5%,27.9%,1.2,15.2%,16.0%,15.8%,8.9%,9.7%,16.0%,15.8%,16.8%,17.3%,17.2%,10.2%,11.6,9.2,16.0%,16.0%,11.8%,13.1%
42,"齋藤 拓実
#2PG",名古屋D,86,80,136,11.1%,29.6%,55.3%,57.6%,37.4%,46.8%,51.5%,53.2%,2.9,14.1%,13.8%,13.3%,21.4%,17.6%,13.8%,13.3%,5.0%,6.2%,5.8%,25.0%,15.2,15.3,0.8%,8.0%,8.4%,18.1%
42,"ドゥシャン・リスティッチ
#14C",川崎,86,39,284,7.0%,55.3%,61.4%,62.7%,63.8%,68.4%,29.2%,31.6%,1.4,17.4%,19.4%,15.7%,13.9%,11.7%,19.4%,15.7%,17.7%,26.0%,23.6%,8.6%,9.4,6.7,26.8%,5.8%,9.1%,8.3%
44,"ディー・ジェイ・ホグ
#10SF/PF",千葉J,85,64,196,14.4%,37.1%,54.3%,57.4%,37.9%,44.2%,47.7%,55.8%,1.7,16.5%,16.0%,16.4%,22.2%,21.5%,16.0%,16.4%,13.8%,15.0%,14.7%,15.9%,15.9,14.8,22.0%,8.6%,13.6%,14.6%
45,"トーマス・ウィンブッシュ
#20SF/PF",滋賀,84,90,218,32.6%,34.5%,47.3%,56.7%,35.5%,52.6%,31.9%,47.4%,0.5,20.1%,15.9%,17.7%,18.3%,18.6%,15.9%,17.7%,10.5%,16.8%,14.8%,5.9%,15.3,7.3,10.7%,20.2%,9.6%,28.0%
46,"富永 啓生
#30SG",北海道,83,154,278,16.8%,38.8%,51.8%,56.1%,47.2%,56.2%,36.0%,43.8%,1.2,20.8%,20.0%,21.8%,28.0%,28.9%,20.0%,21.8%,3.3%,8.5%,6.7%,10.5%,14.9,18.7,0.0%,25.7%,8.5%,20.9%
47,"クリストファー・スミス
#8SG/SF",広島,82,136,244,25.3%,34.0%,56.8%,63.1%,35.4%,43.9%,39.3%,56.1%,2.0,21.4%,18.6%,18.2%,22.7%,21.9%,18.6%,18.2%,7.3%,14.0%,11.8%,15.8%,12.9,18.8,11.0%,15.4%,11.1%,25.0%
48,"ギャビン・エドワーズ
#33PF",宇都宮,81,51,164,17.4%,37.1%,59.8%,61.8%,38.5%,45.6%,44.1%,54.4%,1.1,13.3%,12.5%,11.8%,13.6%,12.3%,12.5%,11.8%,17.6%,16.2%,16.7%,6.8%,12.2,11.2,33.7%,11.5%,12.4%,16.9%
48,"アーロン・ヘンリー
#11SF",名古屋D,81,141,296,15.4%,44.3%,51.2%,54.5%,50.9%,64.9%,33.7%,35.1%,1.7,20.5%,20.6%,19.9%,20.3%,17.4%,20.6%,19.9%,6.9%,16.5%,13.0%,17.7%,18.5,22.3,35.2%,11.0%,9.8%,17.1%
50,"ダミアン・イングリス
#4C/PF",横浜BC,80,66,378,15.0%,60.3%,51.5%,54.7%,74.0%,86.8%,11.0%,13.2%,1.8,20.6%,22.4%,20.7%,6.9%,6.8%,22.4%,20.7%,9.6%,30.7%,24.3%,23.5%,21.4,20.4,30.0%,10.3%,13.4%,22.0%
51,"ケーレブ・ターズースキー
#25C",横浜BC,79,36,202,24.6%,71.1%,64.1%,68.9%,75.4%,100.0%,0.0%,0.0%,1.2,9.3%,9.4%,6.7%,0.0%,0.0%,9.4%,6.7%,23.5%,16.5%,18.6%,6.1%,8.1,6.9,14.3%,8.0%,10.5%,16.8%
51,"D.J・ニュービル
#25PG/SG",宇都宮,79,70,240,13.2%,32.7%,60.3%,62.1%,35.2%,38.1%,51.6%,61.9%,2.6,22.1%,21.3%,20.4%,26.4%,24.1%,21.3%,20.4%,4.4%,15.5%,11.8%,29.1%,21.1,18.8,10.5%,14.9%,11.2%,20.3%
51,"ライアン・ロシター
#22C/PF",A東京,79,27,154,23.2%,55.0%,54.3%,58.3%,58.6%,74.7%,18.2%,25.3%,3.6,8.9%,8.8%,7.9%,4.2%,4.4%,8.8%,7.9%,24.9%,25.7%,25.5%,21.5%,11.1,12.6,21.9%,8.2%,5.7%,16.7%
51,"ジョーダン・ヒース
#35C/PF",京都,79,38,138,7.3%,42.2%,51.0%,50.3%,42.2%,40.7%,50.5%,59.3%,1.1,11.7%,12.1%,11.9%,16.0%,15.6%,12.1%,11.9%,14.6%,18.9%,17.3%,6.7%,8.4,8.9,40.6%,13.4%,9.7%,11.3%
55,"アキル・ミッチェル
#25C/PF",長崎,78,47,220,15.3%,73.3%,57.2%,59.3%,74.7%,87.4%,10.0%,12.6%,2.3,8.3%,9.5%,8.2%,1.9%,2.1%,9.5%,8.2%,16.0%,14.9%,15.2%,10.8%,9.2,10.0,9.6%,14.0%,8.6%,11.1%
55,"ヤニー・ウェッツェル
#10C/PF",秋田,78,85,364,17.8%,66.2%,53.4%,56.5%,68.0%,83.7%,14.2%,16.3%,1.6,19.3%,20.3%,16.9%,8.4%,7.1%,20.3%,16.9%,17.0%,25.4%,22.7%,12.5%,11.8,12.2,27.8%,18.6%,10.9%,19.4%
57,"エマニュエル・テリー
#5C/PF",川崎,77,84,298,11.8%,71.8%,66.1%,67.3%,78.1%,88.1%,10.1%,11.9%,1.5,14.0%,16.0%,11.2%,3.9%,3.1%,16.0%,11.2%,20.8%,18.1%,18.9%,9.0%,8.7,12.2,23.2%,2.9%,9.2%,12.8%
