順位,選手,クラブ,2NDPTS,FBPS,PITP,%PTSFT,%PTSPITP,EFG%,TS%,%PTS2PT,%FGA2PT,%PTS3PT,%FGA3PT,AST/TO,%PTS,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD
161,"西田 陽成
#14SG",滋賀,24,25,32,10.1%,23.2%,48.4%,50.4%,24.6%,30.5%,65.2%,69.5%,1.0,4.4%,4.2%,5.0%,8.2%,7.8%,4.2%,5.0%,3.5%,3.8%,3.7%,3.4%,4.3,5.2,2.9%,3.7%,5.1%,3.9%
161,"遠藤 祐亮
#9SG",宇都宮,24,35,24,3.4%,11.6%,58.5%,58.7%,12.6%,11.1%,84.1%,88.9%,1.9,6.2%,5.9%,6.6%,12.2%,11.2%,5.9%,6.6%,2.6%,4.4%,3.8%,6.0%,5.9,7.2,0.0%,0.0%,10.2%,1.7%
161,"デイミアン・ドットソン
#21SG",琉球,24,47,46,14.1%,20.3%,54.8%,59.0%,29.1%,41.0%,56.8%,59.0%,1.1,7.1%,6.6%,6.7%,12.3%,9.4%,6.6%,6.7%,1.8%,6.4%,4.7%,3.3%,4.9,4.8,2.5%,3.3%,3.5%,3.6%
161,"黒川 虎徹
#3PG",A千葉,24,67,140,10.1%,39.1%,52.3%,54.8%,44.7%,53.9%,45.3%,46.1%,2.3,11.6%,11.7%,12.2%,17.4%,15.5%,11.7%,12.2%,2.1%,4.4%,3.7%,17.3%,10.6,14.1,0.0%,15.2%,9.1%,6.2%
161,"納見 悠仁
#21PG/SG",島根,24,36,52,9.7%,21.0%,49.6%,51.9%,22.6%,31.4%,67.7%,68.6%,2.2,7.8%,7.2%,8.9%,16.0%,14.9%,7.2%,8.9%,3.7%,5.6%,5.1%,16.9%,13.5,12.9,0.0%,13.0%,8.9%,5.1%
161,"マイケル・オウ
#7C",千葉J,24,3,72,12.2%,87.8%,63.2%,63.2%,87.8%,100.0%,0.0%,0.0%,1.0,2.6%,3.1%,2.2%,0.0%,0.0%,3.1%,2.2%,5.8%,2.8%,3.7%,0.9%,1.5,1.0,5.3%,3.2%,6.8%,2.2%
161,"杉浦 佑成
#14SF",仙台,24,17,22,10.2%,17.3%,43.2%,45.4%,18.9%,20.5%,70.9%,79.5%,1.6,4.1%,3.7%,5.1%,7.7%,9.1%,3.7%,5.1%,4.4%,2.4%,3.0%,2.2%,2.2,4.1,3.6%,5.0%,7.1%,2.7%
168,"山崎 稜
#30SG",広島,23,15,12,10.8%,10.0%,45.3%,48.0%,11.7%,14.4%,77.5%,85.6%,1.1,3.6%,3.2%,4.6%,7.5%,8.4%,3.2%,4.6%,3.2%,1.8%,2.3%,1.6%,2.3,1.8,1.0%,3.3%,11.1%,1.8%
168,"久保田 義章
#11PG",三河,23,34,96,16.5%,36.0%,50.7%,54.6%,41.9%,48.2%,41.6%,51.8%,3.2,8.1%,7.9%,8.7%,8.9%,9.3%,7.9%,8.7%,4.1%,4.6%,4.5%,15.1%,9.3,5.5,1.1%,8.7%,8.2%,9.6%
168,"松脇 圭志
#15SG",琉球,23,28,24,3.5%,11.9%,42.7%,43.6%,12.9%,19.4%,83.6%,80.6%,1.6,6.3%,6.0%,8.6%,16.0%,16.4%,6.0%,8.6%,2.8%,4.7%,4.0%,6.3%,6.7,11.9,2.5%,10.0%,9.6%,2.1%
168,"大浦 颯太
#5PG",三遠,23,27,88,18.5%,25.8%,45.0%,49.9%,28.7%,35.3%,52.8%,64.7%,3.1,10.5%,9.6%,12.3%,15.9%,18.1%,9.6%,12.3%,3.0%,9.1%,7.0%,27.3%,14.0,12.6,0.9%,8.7%,7.8%,12.8%
168,"マリアル・シャヨク
#1SG/SF",A千葉,23,2,18,10.1%,18.2%,65.4%,68.0%,32.3%,52.9%,57.6%,47.1%,0.6,3.2%,3.0%,2.7%,6.1%,3.5%,3.0%,2.7%,1.4%,1.6%,1.5%,1.3%,2.8,2.3,1.8%,4.5%,1.6%,3.6%
168,"カイ・ソット
#11C",越谷,23,4,56,23.6%,62.9%,42.0%,47.9%,76.4%,93.8%,0.0%,6.2%,1.6,3.1%,3.3%,3.4%,0.0%,0.5%,3.3%,3.4%,5.2%,5.7%,5.6%,3.0%,2.7,1.9,13.6%,5.0%,1.5%,3.4%
174,"オマール・ジャマレディン
#1SG/SF",川崎,22,20,86,18.3%,56.2%,34.9%,38.1%,56.2%,62.6%,25.5%,37.4%,1.4,5.2%,5.1%,7.2%,3.6%,6.4%,5.1%,7.2%,6.8%,6.0%,6.2%,6.9%,7.4,8.5,6.1%,13.5%,7.1%,7.5%
174,"加藤 嵩都
#3PG",名古屋D,22,44,50,16.0%,30.7%,47.9%,51.7%,34.4%,37.8%,49.7%,62.2%,1.6,5.0%,4.6%,5.2%,7.3%,8.0%,4.6%,5.2%,3.2%,3.8%,3.6%,7.7%,8.7,7.6,2.5%,6.0%,7.9%,5.5%
174,"菊地 広人
#6PG/SG",北海道,22,4,18,18.2%,13.1%,49.1%,53.3%,16.1%,28.9%,65.7%,71.1%,2.7,4.0%,3.2%,4.3%,9.8%,9.3%,3.2%,4.3%,1.6%,1.3%,1.4%,3.8%,2.4,4.5,1.0%,1.9%,9.1%,3.3%
174,"江原 信太朗
#25SF",滋賀,22,19,18,3.3%,20.0%,48.3%,48.8%,20.0%,20.0%,76.7%,80.0%,1.3,2.9%,2.8%,3.5%,6.3%,6.3%,2.8%,3.5%,2.8%,3.4%,3.2%,1.6%,1.6,4.2,3.9%,1.8%,5.1%,1.2%
174,"木田 貴明
#0SF",A千葉,22,31,34,9.9%,19.9%,53.5%,55.6%,30.4%,45.1%,59.6%,54.9%,1.2,5.6%,5.2%,5.7%,11.0%,8.6%,5.2%,5.7%,1.0%,1.8%,1.5%,2.8%,3.2,5.6,0.9%,4.5%,4.8%,3.0%
179,"笹山 貴哉
#21PG",FE名古屋,21,21,38,5.7%,21.8%,50.3%,51.2%,28.7%,31.3%,65.5%,68.7%,2.2,5.5%,5.5%,6.3%,10.7%,10.4%,5.5%,6.3%,2.1%,2.2%,2.2%,9.6%,6.3,4.8,1.9%,7.1%,6.6%,2.3%
179,"高島 紳司
#12SG",宇都宮,21,46,42,4.2%,22.1%,52.6%,53.7%,23.2%,20.8%,72.6%,79.2%,2.1,5.7%,5.7%,6.7%,9.6%,10.1%,5.7%,6.7%,2.8%,7.1%,5.7%,3.6%,3.3,11.6,8.1%,3.4%,10.8%,1.2%
順位,選手,クラブ,得点,,,,,シュート,,2Pt,,3Pt,,アシスト,チーム内比率,,,,,,,,,,,,,,,,
,,,2NDPTS,FBPS,PITP,%PTSFT,%PTSPITP,EFG%,TS%,%PTS2PT,%FGA2PT,%PTS3PT,%FGA3PT,AST/TO,%PTS,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD
179,"野本 大智
#16PG",滋賀,21,48,102,17.3%,46.4%,47.9%,51.8%,50.0%,53.2%,32.7%,46.8%,1.9,7.0%,7.0%,7.5%,6.6%,7.8%,7.0%,7.5%,3.1%,3.2%,3.2%,12.2%,8.3,9.7,1.9%,10.1%,8.2%,7.3%
182,"ジャン・ローレンス・ハーパージュニア
#3PG",SR渋谷,20,47,52,12.6%,21.1%,46.4%,48.9%,24.3%,28.3%,63.2%,71.7%,2.1,8.4%,7.7%,9.2%,16.1%,16.7%,7.7%,9.2%,6.9%,6.3%,6.5%,19.5%,16.2,16.5,13.4%,4.2%,15.4%,10.5%
182,"山内 ジャヘル琉人
#45SG",川崎,20,22,54,15.1%,42.9%,46.1%,47.9%,44.4%,52.6%,40.5%,47.4%,1.4,4.3%,4.1%,4.7%,4.7%,5.2%,4.1%,4.7%,4.7%,3.5%,3.8%,2.7%,2.9,5.9,7.3%,5.8%,7.0%,4.6%
182,"中村 太地
#11PG/SG",島根,20,24,64,10.0%,25.7%,47.1%,49.3%,32.1%,36.6%,57.8%,63.4%,1.7,7.8%,7.5%,9.4%,13.7%,14.5%,7.5%,9.4%,2.2%,4.1%,3.5%,7.6%,7.9,7.0,3.9%,4.3%,13.4%,6.3%
185,"キング 開
#23PG/SG",横浜BC,19,26,100,9.3%,66.7%,45.9%,47.6%,70.7%,66.9%,20.0%,33.1%,1.8,4.9%,5.5%,5.9%,3.0%,4.9%,5.5%,5.9%,6.2%,1.8%,3.1%,3.9%,3.5,4.9,5.7%,11.5%,9.7%,3.5%
185,"元田 大陽
#12SG",秋田,19,46,34,8.2%,17.5%,43.8%,45.5%,26.8%,39.9%,64.9%,60.1%,1.2,6.8%,6.5%,8.1%,13.6%,12.6%,6.5%,8.1%,5.4%,2.9%,3.7%,5.4%,6.4,7.2,3.3%,7.0%,12.1%,3.5%
185,"渡辺 翔太
#15PG",仙台,19,71,46,6.4%,17.3%,54.1%,55.2%,20.3%,27.8%,73.3%,72.2%,3.5,8.5%,8.1%,9.0%,16.7%,14.3%,8.1%,9.0%,3.8%,5.4%,4.9%,10.7%,4.8,8.6,1.8%,7.0%,10.0%,9.4%
185,"田中 晴瑛
#17PG",富山,19,11,36,19.6%,37.1%,35.5%,40.4%,43.3%,50.9%,37.1%,49.1%,2.9,3.0%,2.9%,4.2%,4.3%,5.9%,2.9%,4.2%,3.9%,1.7%,2.4%,6.5%,3.1,4.1,1.2%,3.8%,7.3%,2.2%
185,"タナー・ライスナー
#15PF",秋田,19,27,58,19.0%,50.0%,53.4%,57.3%,50.0%,64.8%,31.0%,35.2%,1.6,4.1%,3.9%,3.5%,3.9%,3.2%,3.9%,3.5%,4.7%,3.1%,3.6%,2.1%,1.9,1.4,0.0%,3.1%,2.4%,3.6%
190,"陳岡 流羽
#10PG/SG",茨城,18,33,94,6.9%,65.3%,43.2%,44.0%,68.1%,61.9%,25.0%,38.1%,2.5,4.9%,5.6%,6.4%,3.9%,6.2%,5.6%,6.4%,8.0%,5.7%,6.3%,7.4%,4.5,12.3,5.6%,6.8%,11.6%,3.9%
190,"マシュー・アキノ
#13PF",富山,18,0,8,5.4%,10.8%,40.7%,42.2%,13.5%,17.4%,81.1%,82.6%,0.6,2.3%,2.2%,3.3%,7.2%,7.7%,2.2%,3.3%,3.0%,2.5%,2.6%,1.3%,3.3,2.7,7.1%,1.5%,7.0%,0.6%
190,"小野寺 祥太
#34PG/SG",琉球,18,25,22,4.5%,16.4%,49.2%,50.5%,19.4%,26.9%,76.1%,73.1%,4.1,4.2%,4.1%,4.9%,9.7%,8.5%,4.1%,4.9%,2.7%,3.6%,3.2%,7.7%,3.1,7.1,2.5%,4.4%,8.4%,2.7%
190,"常田 耕平
#17PG",滋賀,18,28,34,3.0%,25.8%,52.0%,52.3%,28.8%,27.6%,68.2%,72.4%,2.3,4.2%,4.3%,4.8%,8.2%,7.8%,4.3%,4.8%,2.4%,2.3%,2.3%,4.2%,2.4,5.5,1.0%,4.6%,11.6%,2.3%
190,"淺野 ケニー
#16SF",群馬,18,7,26,9.4%,30.6%,58.3%,60.0%,37.6%,53.0%,52.9%,47.0%,1.5,2.6%,2.7%,2.7%,3.6%,2.7%,2.7%,2.7%,3.4%,2.7%,2.9%,1.4%,1.8,2.3,2.9%,6.0%,3.8%,1.5%
190,"脇 真大
#18SG",琉球,18,34,80,25.0%,66.7%,37.2%,42.2%,70.0%,81.0%,5.0%,19.0%,1.5,3.8%,3.8%,4.6%,0.6%,2.1%,3.8%,4.6%,6.0%,4.7%,5.2%,8.1%,9.0,9.3,7.5%,10.0%,9.5%,6.2%
190,"宮本 一樹
#7SF/PF",富山,18,23,14,13.0%,11.4%,40.2%,42.7%,11.4%,17.3%,75.6%,82.7%,1.7,3.8%,3.3%,5.0%,11.2%,12.0%,3.3%,5.0%,2.8%,4.8%,4.1%,2.9%,2.4,5.5,2.4%,2.3%,9.1%,3.2%
197,"中東 泰斗
#12SG",名古屋D,17,19,42,9.8%,34.1%,49.6%,51.9%,34.1%,48.2%,56.1%,51.8%,2.8,3.8%,3.7%,4.0%,6.2%,5.2%,3.7%,4.0%,3.0%,5.6%,4.6%,5.5%,3.5,6.2,2.5%,6.0%,3.4%,1.7%
197,"岡田 大河
#55PG",川崎,17,33,118,12.1%,75.2%,45.7%,48.5%,80.3%,86.1%,7.6%,13.9%,2.0,5.3%,6.1%,6.1%,1.1%,2.0%,6.1%,6.1%,3.6%,2.1%,2.6%,15.3%,11.2,7.8,2.4%,10.6%,7.4%,7.1%
197,"前田 怜緒
#5SG/SF",A千葉,17,44,122,14.0%,41.6%,42.1%,45.0%,43.0%,51.2%,43.0%,48.8%,1.6,9.5%,9.1%,11.9%,13.5%,16.0%,9.1%,11.9%,3.9%,6.1%,5.4%,14.5%,12.8,10.8,5.5%,17.9%,13.6%,10.0%
200,"川真田 紘也
#99C",長崎,16,6,54,33.3%,66.7%,61.4%,70.8%,66.7%,100.0%,0.0%,0.0%,0.1,2.2%,2.1%,1.6%,0.0%,0.0%,2.1%,1.6%,3.5%,1.8%,2.3%,0.1%,2.5,0.6,5.3%,5.0%,4.2%,3.8%
順位,選手,クラブ,得点,,,,,シュート,,2Pt,,3Pt,,アシスト,チーム内比率,,,,,,,,,,,,,,,,
,,,2NDPTS,FBPS,PITP,%PTSFT,%PTSPITP,EFG%,TS%,%PTS2PT,%FGA2PT,%PTS3PT,%FGA3PT,AST/TO,%PTS,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD
200,"荒川 颯
#10PG/SG",琉球,16,27,28,7.8%,19.9%,44.2%,46.0%,28.4%,21.1%,63.8%,78.9%,1.9,4.4%,4.4%,5.6%,8.6%,10.4%,4.4%,5.6%,1.5%,1.9%,1.8%,5.3%,4.7,4.8,0.0%,0.0%,5.3%,1.5%
200,"ホール 百音 アレックス
#39SF",京都,16,34,72,11.5%,46.2%,44.5%,46.4%,50.0%,54.8%,38.5%,45.2%,1.2,5.6%,5.8%,6.2%,5.8%,6.2%,5.8%,6.2%,5.4%,4.6%,4.9%,4.9%,5.7,11.0,8.9%,9.3%,9.0%,5.7%
200,"テーブス 海
#3PG",A東京,16,20,46,11.4%,37.4%,53.4%,55.1%,42.3%,59.8%,46.3%,40.2%,3.5,3.9%,4.0%,4.1%,4.7%,3.6%,4.0%,4.1%,0.2%,2.2%,1.7%,7.0%,3.7,3.6,1.9%,5.5%,2.3%,3.4%
200,"原 修太
#31SG/SF",千葉J,16,40,140,8.7%,63.9%,51.3%,52.4%,66.7%,70.3%,24.7%,29.7%,2.1,6.8%,7.9%,7.7%,4.8%,5.4%,7.9%,7.7%,5.4%,5.2%,5.3%,10.0%,8.4,5.1,3.0%,9.7%,9.8%,7.0%
205,"熊谷 航
#11PG",長崎,15,20,48,7.6%,30.6%,47.7%,48.8%,33.1%,37.5%,59.2%,62.5%,3.2,4.3%,4.4%,5.6%,6.0%,7.1%,4.4%,5.6%,4.9%,4.6%,4.7%,17.1%,10.2,8.6,5.3%,7.0%,12.3%,6.5%
205,"ジェフ・ギブス
#34C/PF",千葉J,15,0,24,17.5%,60.0%,55.0%,59.7%,60.0%,83.3%,22.5%,16.7%,1.0,1.2%,1.3%,1.2%,0.8%,0.5%,1.3%,1.2%,2.6%,2.3%,2.4%,1.5%,2.6,3.1,1.5%,1.1%,3.2%,1.5%
205,"児玉 ジュニア
#33PG/SG",三遠,15,32,50,15.3%,51.0%,34.0%,37.3%,51.0%,51.6%,33.7%,48.4%,1.6,3.0%,3.2%,4.9%,2.9%,5.3%,3.2%,4.9%,3.0%,1.7%,2.2%,4.5%,4.5,6.5,0.9%,9.8%,6.2%,2.9%
205,"髙比良 寛治
#24SG",秋田,15,25,44,7.0%,38.6%,49.5%,50.4%,40.4%,40.2%,52.6%,59.8%,2.4,4.0%,4.1%,4.3%,6.5%,6.6%,4.1%,4.3%,1.9%,3.5%,3.0%,4.1%,2.5,5.4,4.4%,3.9%,9.6%,2.5%
205,"大庭 岳輝
#14SG",越谷,15,24,22,2.3%,12.8%,48.0%,48.7%,20.9%,30.3%,76.7%,69.7%,1.1,6.0%,6.0%,7.3%,11.6%,11.2%,6.0%,7.3%,3.2%,1.4%,1.9%,2.4%,2.9,3.8,0.0%,9.2%,6.1%,1.6%
210,"瀬川 琉久
#5PG",千葉J,14,22,84,19.9%,44.0%,42.7%,47.2%,59.7%,74.3%,20.4%,25.7%,1.3,6.0%,6.1%,7.1%,3.4%,4.3%,6.1%,7.1%,5.4%,2.5%,3.3%,9.1%,12.1,8.7,7.6%,16.1%,10.9%,10.9%
210,"晴山 ケビン
#32SF",広島,14,18,8,8.2%,8.2%,46.8%,49.0%,8.2%,11.6%,83.5%,88.4%,1.3,2.9%,2.6%,3.7%,6.5%,7.0%,2.6%,3.7%,3.4%,2.6%,2.8%,1.0%,1.3,2.2,2.0%,1.1%,4.4%,0.7%
210,"熊谷 尚也
#27SF",A千葉,14,8,54,0.9%,46.2%,48.7%,48.8%,47.9%,49.6%,51.3%,50.4%,0.8,3.8%,4.2%,4.7%,6.5%,6.6%,4.2%,4.7%,2.7%,2.4%,2.5%,2.2%,4.1,2.3,7.3%,5.4%,4.7%,1.1%
210,"赤穂 雷太
#6SG/SF",秋田,14,19,30,14.7%,21.0%,43.3%,46.5%,26.6%,37.6%,58.7%,62.4%,1.6,5.0%,4.5%,5.6%,9.1%,9.1%,4.5%,5.6%,4.4%,2.2%,2.9%,3.4%,3.1,6.5,6.7%,3.9%,7.2%,5.0%
210,"土屋 アリスター時生
#77PF",秋田,14,18,72,4.9%,69.9%,54.4%,55.6%,95.1%,100.0%,0.0%,0.0%,0.9,3.6%,4.7%,3.6%,0.0%,0.0%,4.7%,3.6%,5.8%,1.9%,3.2%,2.2%,3.7,3.2,7.8%,6.2%,7.4%,1.1%
210,"関野 剛平
#1SG/SF",北海道,14,18,18,8.9%,16.1%,48.1%,49.7%,21.4%,29.2%,69.6%,70.8%,2.1,3.3%,3.0%,4.0%,8.5%,8.6%,3.0%,4.0%,1.2%,3.2%,2.5%,6.4%,5.3,6.1,2.0%,1.9%,5.7%,3.3%
216,"谷口 大智
#55C/PF",群馬,13,5,8,4.7%,12.5%,62.2%,63.0%,15.6%,12.2%,79.7%,87.8%,1.0,2.0%,1.9%,2.0%,4.1%,3.7%,1.9%,2.0%,0.7%,2.0%,1.6%,0.7%,1.3,1.2,5.8%,0.0%,3.5%,0.4%
216,"大倉 颯太
#2PG/SG",A東京,13,9,36,10.9%,26.1%,48.4%,50.2%,26.1%,43.3%,63.0%,56.7%,1.4,4.4%,4.2%,5.1%,7.1%,6.4%,4.2%,5.1%,1.8%,2.4%,2.3%,8.0%,10.5,3.6,1.0%,5.5%,9.8%,5.9%
216,"角野 亮伍
#18SG/SF",三河,13,21,78,10.7%,32.1%,53.4%,55.7%,33.7%,39.4%,55.6%,60.6%,1.1,7.4%,7.3%,8.0%,10.8%,10.0%,7.3%,8.0%,2.9%,3.5%,3.4%,3.3%,5.7,5.9,2.1%,5.8%,3.3%,4.0%
216,"小島 元基
#1PG",茨城,13,4,24,22.3%,19.8%,48.0%,54.4%,38.0%,51.0%,39.7%,49.0%,2.8,4.1%,3.6%,4.0%,5.2%,5.0%,3.6%,4.0%,2.7%,1.5%,1.9%,8.6%,4.5,1.7,0.0%,2.9%,3.1%,3.5%
216,"兪 龍海
#51SF",横浜BC,13,9,22,12.2%,53.7%,36.0%,38.0%,58.5%,60.0%,29.3%,40.0%,1.4,1.3%,1.4%,2.0%,1.2%,2.0%,1.4%,2.0%,3.1%,2.1%,2.4%,1.4%,1.7,4.5,1.4%,4.6%,4.0%,1.2%
順位,選手,クラブ,得点,,,,,シュート,,2Pt,,3Pt,,アシスト,チーム内比率,,,,,,,,,,,,,,,,
,,,2NDPTS,FBPS,PITP,%PTSFT,%PTSPITP,EFG%,TS%,%PTS2PT,%FGA2PT,%PTS3PT,%FGA3PT,AST/TO,%PTS,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD
216,"長野 誠史
#7PG",三河,13,16,76,23.0%,35.0%,44.7%,51.1%,39.6%,37.4%,37.3%,62.6%,2.3,6.6%,5.9%,7.4%,6.5%,9.5%,5.9%,7.4%,3.9%,4.4%,4.3%,21.1%,18.1,10.9,3.2%,3.9%,14.0%,11.2%
216,"大塚 裕土
#24SG",A千葉,13,9,8,6.4%,8.5%,56.4%,57.3%,10.6%,11.5%,83.0%,88.5%,0.8,3.1%,2.7%,3.1%,8.4%,7.5%,2.7%,3.1%,0.4%,1.1%,0.8%,0.9%,1.6,1.4,0.9%,0.0%,4.2%,0.8%
216,"井上 諒汰
#34SF",佐賀,13,14,22,5.1%,22.2%,54.7%,55.6%,28.3%,20.9%,66.7%,79.1%,1.8,3.1%,3.2%,3.4%,5.9%,5.7%,3.2%,3.4%,1.5%,1.4%,1.4%,3.4%,3.9,3.9,2.4%,0.0%,8.0%,2.8%
216,"根本 大
#20PG",三遠,13,26,58,10.5%,27.6%,60.6%,62.6%,29.5%,38.1%,60.0%,61.9%,1.3,6.5%,6.4%,6.2%,11.1%,8.7%,6.4%,6.2%,2.4%,3.1%,2.9%,7.0%,8.7,5.1,4.3%,9.8%,9.3%,3.9%
216,"田代 直希
#4SG/SF",千葉J,13,15,22,9.8%,26.8%,55.2%,57.1%,31.7%,44.8%,58.5%,55.2%,2.0,2.6%,2.5%,2.6%,4.2%,3.4%,2.5%,2.6%,5.2%,3.5%,4.0%,4.2%,3.7,7.1,1.5%,0.0%,9.8%,2.0%
216,"島谷 怜
#15PG",北海道,13,57,94,20.7%,45.2%,55.7%,61.2%,49.0%,63.5%,30.3%,36.5%,3.4,6.1%,5.7%,5.6%,6.8%,6.2%,5.7%,5.6%,3.5%,5.4%,4.7%,15.8%,8.1,13.0,0.0%,2.9%,12.8%,8.9%
216,"大崎 裕太
#16PG/SG",A千葉,13,11,38,4.2%,39.6%,44.7%,45.8%,45.8%,48.5%,50.0%,51.5%,2.0,3.1%,3.3%,4.1%,5.2%,5.8%,3.3%,4.1%,2.7%,2.6%,2.6%,6.2%,4.2,3.3,0.0%,0.9%,6.2%,1.8%
216,"石井 講祐
#27SG",三河,13,8,8,20.0%,12.3%,44.8%,50.0%,15.4%,13.8%,64.6%,86.2%,3.8,2.0%,1.6%,2.3%,3.3%,4.1%,1.6%,2.3%,1.7%,1.9%,1.8%,2.8%,1.4,3.8,1.1%,1.9%,4.1%,2.7%
229,"コー・フリッピン
#1PG/SG",群馬,12,12,48,12.5%,75.0%,41.2%,41.7%,87.5%,91.2%,0.0%,8.8%,2.0,2.0%,2.4%,2.8%,0.0%,0.5%,2.4%,2.8%,2.5%,1.9%,2.1%,4.6%,4.4,3.5,1.0%,3.6%,3.9%,2.3%
229,"シェーファー アヴィ幸樹
#32C",三河,12,6,46,20.7%,79.3%,46.9%,50.9%,79.3%,89.8%,0.0%,10.2%,1.3,1.8%,2.0%,1.9%,0.0%,0.4%,2.0%,1.9%,4.4%,3.6%,3.8%,1.1%,1.7,2.9,4.3%,3.9%,3.8%,2.6%
229,"狩野 富成
#14C",SR渋谷,12,6,36,18.2%,81.8%,41.9%,44.4%,81.8%,100.0%,0.0%,0.0%,0.6,1.5%,1.7%,1.7%,0.0%,0.0%,1.7%,1.7%,3.2%,2.3%,2.6%,0.8%,2.2,2.6,6.7%,8.3%,5.0%,1.8%
229,"ヤン ジェミン
#9SF",茨城,12,15,64,8.8%,56.6%,45.2%,45.7%,56.6%,49.1%,34.5%,50.9%,1.0,3.9%,4.1%,4.7%,4.3%,6.0%,4.1%,4.7%,3.4%,5.2%,4.7%,3.2%,4.5,8.5,7.9%,6.8%,10.1%,3.8%
229,"田口 成浩
#5SG",秋田,12,9,16,9.7%,22.2%,51.6%,53.1%,27.8%,25.4%,62.5%,74.6%,0.9,2.5%,2.4%,2.5%,4.9%,4.9%,2.4%,2.5%,0.5%,1.3%,1.1%,1.2%,1.9,2.5,1.1%,0.8%,2.1%,1.5%
229,"谷口 光貴
#7SG/SF",横浜BC,12,12,14,2.3%,16.3%,55.3%,55.9%,20.9%,19.7%,76.7%,80.3%,0.3,2.8%,2.7%,3.0%,6.6%,6.1%,2.7%,3.0%,1.0%,0.5%,0.7%,0.4%,2.3,2.0,0.0%,0.0%,4.2%,1.0%
229,"野本 建吾
#10PF",川崎,12,13,38,18.2%,57.6%,51.9%,55.5%,63.6%,69.2%,18.2%,30.8%,1.5,2.2%,2.3%,2.1%,1.1%,1.5%,2.3%,2.1%,2.1%,2.3%,2.3%,2.3%,2.4,3.0,2.4%,3.8%,4.0%,2.8%
229,"川嶋 勇人
#15SG",京都,12,21,34,10.5%,22.2%,40.3%,42.4%,28.8%,34.1%,60.8%,65.9%,2.2,5.5%,5.2%,6.8%,9.0%,10.0%,5.2%,6.8%,1.9%,3.1%,2.7%,11.1%,7.0,13.6,5.0%,3.1%,10.3%,4.4%
229,"内尾 聡理
#18PG/SG",佐賀,12,25,46,10.2%,39.0%,45.3%,46.9%,39.0%,44.4%,50.8%,55.6%,1.9,3.7%,3.8%,4.6%,5.3%,5.4%,3.8%,4.6%,5.8%,3.2%,4.0%,5.7%,6.2,8.2,3.5%,15.6%,14.2%,3.6%
238,"ディディ・ロウザダ
#0SF",SR渋谷,11,21,38,7.7%,36.5%,47.5%,48.9%,51.9%,55.4%,40.4%,44.6%,1.2,3.5%,3.8%,4.0%,4.3%,4.5%,3.8%,4.0%,2.4%,2.8%,2.7%,2.8%,4.0,2.2,1.7%,0.0%,2.8%,2.0%
238,"佐藤 涼成
#88PG",広島,11,21,48,10.5%,31.4%,51.1%,52.6%,32.7%,32.8%,56.9%,67.2%,2.3,4.6%,4.5%,5.2%,7.0%,7.5%,4.5%,5.2%,2.8%,3.3%,3.2%,8.7%,6.1,6.3,0.0%,4.4%,10.1%,3.0%
238,"青木 保憲
#4PG",大阪,11,27,80,14.8%,38.1%,46.4%,50.4%,46.7%,57.0%,38.6%,43.0%,2.4,6.8%,6.7%,7.5%,7.9%,7.6%,6.7%,7.5%,2.6%,3.7%,3.3%,14.2%,9.3,9.2,0.0%,4.3%,11.6%,7.8%
順位,選手,クラブ,得点,,,,,シュート,,2Pt,,3Pt,,アシスト,チーム内比率,,,,,,,,,,,,,,,,
,,,2NDPTS,FBPS,PITP,%PTSFT,%PTSPITP,EFG%,TS%,%PTS2PT,%FGA2PT,%PTS3PT,%FGA3PT,AST/TO,%PTS,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD
238,"駒沢 颯
#7PG",茨城,11,23,70,5.2%,30.2%,43.0%,44.3%,43.1%,45.7%,51.7%,54.3%,1.2,7.9%,8.3%,10.5%,13.1%,14.5%,8.3%,10.5%,2.4%,5.9%,4.9%,7.4%,9.6,6.0,4.5%,11.7%,9.9%,3.9%
238,"池田 祐一
#12PG",越谷,11,57,86,15.7%,48.3%,43.9%,46.9%,53.9%,57.9%,30.3%,42.1%,1.9,6.2%,6.4%,7.1%,4.7%,6.6%,6.4%,7.1%,3.5%,5.2%,4.8%,17.0%,12.4,12.3,2.5%,12.6%,11.6%,10.0%
238,"喜多川 修平
#31SF",越谷,11,11,20,14.3%,16.8%,55.4%,59.0%,25.2%,37.0%,60.5%,63.0%,1.1,4.2%,3.8%,3.8%,6.3%,5.3%,3.8%,3.8%,2.3%,3.3%,3.0%,2.2%,2.9,3.8,0.0%,1.7%,6.2%,2.6%
