Rank,Player,Age,GP,MIN,ORTG,DRTG,NRTG,USG%,TS%,eFG%,,,,
63,"ジェレミー・ジョーンズ
FE名古屋 - SF",29,34,931.0,110.03,109.66,0.37,16.93%,57.57%,54.26%,61.63%,25.19%,1.82,18.38%
64,"ライアン・ルーサー
大阪 - C/PF",30,35,928.5,112.46,113.14,-0.69,27.89%,57.66%,54.82%,35.87%,20.63%,1.50,20.97%
65,"三谷 桂司朗
広島 - SF",24,39,926.4,119.93,109.75,10.18,15.54%,54.24%,52.45%,69.06%,16.23%,0.96,5.90%
66,"ジャモルコ・ピケット
FE名古屋 - SF/PF",28,39,923.9,105.80,114.91,-9.11,26.68%,55.44%,49.21%,41.95%,37.73%,0.81,15.59%
67,"杉本 慶
A千葉 - PG",33,39,923.6,108.66,114.77,-6.12,15.97%,53.59%,50.71%,39.34%,18.96%,2.06,32.58%
68,"細川 一輝
群馬 - SG",28,39,917.5,119.84,107.14,12.70,14.94%,55.27%,55.06%,82.19%,1.62%,1.75,8.59%
69,"中村 拓人
群馬 - PG",25,37,917.3,116.93,107.10,9.83,22.68%,50.92%,48.31%,33.44%,17.79%,1.81,23.72%
70,"トレイ・ケル
富山 - SG",30,32,917.3,111.53,116.30,-4.77,32.98%,60.13%,50.80%,40.08%,54.51%,1.76,29.12%
71,"セルジオ・エル ダーウィッチ
仙台 - SG",29,35,916.7,112.45,106.22,6.23,22.97%,51.33%,49.55%,32.05%,18.40%,2.29,41.01%
72,"藤井 祐眞
群馬 - PG/SG",34,39,916.4,119.82,108.08,11.74,20.18%,54.95%,49.10%,83.51%,35.13%,2.14,21.49%
73,"前田 悟
京都 - SG",29,37,913.1,100.89,110.90,-10.01,20.37%,50.48%,47.59%,59.16%,20.26%,1.26,12.99%
74,"レイ・パークスジュニア
大阪 - SG",33,35,912.9,112.33,113.91,-1.57,23.31%,53.64%,48.09%,57.22%,31.34%,1.18,12.13%
75,"メイヨ ニック
広島 - C/PF",28,30,907.9,115.58,111.66,3.92,16.17%,59.36%,57.47%,53.64%,19.92%,3.04,18.97%
